job_id,job_title,company_size,company_industry,country,remote_type,experience_level,years_experience,education_level,skills_python,skills_sql,skills_ml,skills_deep_learning,skills_cloud,salary,job_posting_month,job_posting_year,hiring_urgency,job_openings,weighted_score,skill_level,hiring_score,job_readiness_level
1,AI Engineer,Startup,Retail,Canada,Remote,Senior,2,Master,0,0,0,1,0,158322,Jun,2024,Low,4,3,Low,10,Not Ready
2,Machine Learning Engineer,MNC,Technology,Australia,Hybrid,Mid,0,Bachelor,1,1,1,0,1,163666,Nov,2026,High,9,8.5,High,75,Highly Ready
3,Machine Learning Engineer,MNC,Technology,Germany,Onsite,Mid,14,Master,1,0,1,0,1,158556,Mar,2026,High,9,7,Medium,60,Moderate
4,Business Analyst,Startup,Healthcare,Germany,Remote,Mid,9,Master,0,1,0,1,1,95775,Mar,2025,High,7,6.5,Medium,40,Beginner
5,Data Scientist,MNC,Healthcare,Germany,Hybrid,Mid,5,Master,1,1,1,0,0,111873,Dec,2021,Low,2,6.5,Medium,60,Moderate
6,Machine Learning Engineer,Medium,Technology,Australia,Onsite,Senior,6,Master,1,0,1,1,0,165878,May,2021,High,2,8,High,80,Highly Ready
7,Data Scientist,MNC,Technology,Germany,Remote,Entry,14,Bachelor,0,0,0,0,0,67027,Aug,2026,High,8,0,Low,-15,Not Ready
8,Data Analyst,Enterprise,Finance,UK,Onsite,Entry,4,PhD,1,0,1,0,1,78392,Aug,2023,High,7,7,Medium,60,Moderate
9,Machine Learning Engineer,Startup,Education,Canada,Onsite,Mid,2,PhD,0,0,0,0,1,123840,May,2021,Low,3,2,Low,0,Not Ready
10,Data Engineer,Enterprise,Retail,USA,Onsite,Senior,9,Master,1,0,0,0,1,112408,Apr,2024,High,7,4,Low,35,Beginner
11,AI Engineer,Medium,E-commerce,Singapore,Onsite,Entry,10,PhD,0,1,0,1,0,103157,Dec,2021,Medium,3,4.5,Low,25,Not Ready
12,Machine Learning Engineer,Startup,Education,USA,Remote,Mid,13,Master,0,1,1,0,1,142392,Jan,2020,High,9,6.5,Medium,40,Beginner
13,Data Analyst,Medium,Finance,Germany,Remote,Entry,6,PhD,1,1,0,0,1,55663,Nov,2025,Low,5,5.5,Medium,50,Moderate
14,Data Scientist,MNC,Finance,Australia,Remote,Mid,6,Master,1,0,0,0,0,90698,Jan,2021,High,8,2,Low,20,Not Ready
15,Machine Learning Engineer,MNC,Education,Singapore,Remote,Entry,2,Bachelor,1,1,0,1,1,135535,Jul,2023,Low,6,8.5,High,75,Highly Ready
16,Data Analyst,MNC,Retail,USA,Onsite,Mid,3,Bachelor,1,1,1,0,0,114339,Nov,2025,Low,1,6.5,Medium,60,Moderate
17,Business Analyst,Enterprise,Technology,Germany,Onsite,Senior,2,Master,0,0,1,1,0,133680,Jan,2026,High,4,6,Medium,45,Beginner
18,Machine Learning Engineer,MNC,Finance,UK,Remote,Entry,6,Master,0,1,1,0,0,122049,Jan,2025,High,9,4.5,Low,25,Not Ready
19,AI Engineer,Startup,E-commerce,UK,Onsite,Entry,2,Bachelor,0,1,1,0,1,116197,Aug,2020,High,8,6.5,Medium,40,Beginner
20,AI Engineer,Enterprise,Finance,Germany,Hybrid,Mid,13,PhD,0,0,0,0,1,122869,Mar,2024,Medium,2,2,Low,0,Not Ready
21,Data Scientist,MNC,Finance,Germany,Remote,Mid,3,Bachelor,1,1,1,0,0,109735,Jan,2023,Low,1,6.5,Medium,60,Moderate
22,Data Analyst,Enterprise,Education,Singapore,Hybrid,Mid,5,Master,1,0,0,1,1,99893,Jan,2023,Low,2,7,Medium,60,Moderate
23,Data Scientist,Startup,Technology,Canada,Onsite,Senior,0,Bachelor,1,1,1,0,1,121060,Aug,2024,Low,5,8.5,High,75,Highly Ready
24,Data Scientist,Medium,E-commerce,Singapore,Onsite,Entry,12,PhD,0,1,0,0,1,63319,Feb,2020,Medium,3,3.5,Low,15,Not Ready
25,Machine Learning Engineer,Enterprise,Education,India,Onsite,Mid,14,Master,1,0,1,0,0,125784,Aug,2020,Medium,2,5,Medium,45,Beginner
26,Data Scientist,Enterprise,Education,Singapore,Remote,Mid,9,PhD,0,1,0,1,0,92992,Apr,2024,High,7,4.5,Low,25,Not Ready
